Epoch [1/50], Train Loss: 287.3401, Validation Loss: 284.4569
Epoch [2/50], Train Loss: 276.2867, Validation Loss: 272.6125
Epoch [3/50], Train Loss: 265.1649, Validation Loss: 260.6096
Epoch [4/50], Train Loss: 252.9025, Validation Loss: 247.7583
Epoch [5/50], Train Loss: 238.5815, Validation Loss: 231.1172
Epoch [6/50], Train Loss: 221.9878, Validation Loss: 214.1920
Epoch [7/50], Train Loss: 204.3027, Validation Loss: 197.6845
Epoch [8/50], Train Loss: 187.8358, Validation Loss: 181.5086
Epoch [9/50], Train Loss: 171.8249, Validation Loss: 166.8935
Epoch [10/50], Train Loss: 159.3645, Validation Loss: 156.0275
Epoch [11/50], Train Loss: 147.6407, Validation Loss: 145.0788
Epoch [12/50], Train Loss: 137.9020, Validation Loss: 138.1866
Epoch [13/50], Train Loss: 129.6526, Validation Loss: 131.8953
Epoch [14/50], Train Loss: 123.0100, Validation Loss: 127.6708
Epoch [15/50], Train Loss: 118.8835, Validation Loss: 123.2213
Epoch [16/50], Train Loss: 115.7711, Validation Loss: 121.4624
Epoch [17/50], Train Loss: 111.8065, Validation Loss: 118.8016
Epoch [18/50], Train Loss: 110.3644, Validation Loss: 117.9864
Epoch [19/50], Train Loss: 109.0205, Validation Loss: 117.0641
Epoch [20/50], Train Loss: 107.8993, Validation Loss: 116.5154
Epoch [21/50], Train Loss: 106.3845, Validation Loss: 115.5289
Epoch [22/50], Train Loss: 104.3147, Validation Loss: 114.5699
Epoch [23/50], Train Loss: 107.1625, Validation Loss: 117.9265
Epoch [24/50], Train Loss: 106.3423, Validation Loss: 117.1754
Epoch [25/50], Train Loss: 105.0261, Validation Loss: 117.6132
Epoch [26/50], Train Loss: 104.5034, Validation Loss: 114.4707
Epoch [27/50], Train Loss: 103.3348, Validation Loss: 115.3418
Epoch [28/50], Train Loss: 103.7833, Validation Loss: 116.2350
Epoch [29/50], Train Loss: 102.5642, Validation Loss: 115.0383
Epoch [30/50], Train Loss: 102.1722, Validation Loss: 114.6029
Epoch [31/50], Train Loss: 100.1889, Validation Loss: 114.4763
Epoch [32/50], Train Loss: 100.0973, Validation Loss: 114.8234
Epoch [33/50], Train Loss: 99.7938, Validation Loss: 114.4478
Epoch [34/50], Train Loss: 98.9904, Validation Loss: 113.2285
Epoch [35/50], Train Loss: 99.2059, Validation Loss: 115.1546
Epoch [36/50], Train Loss: 98.4654, Validation Loss: 114.0302
Epoch [37/50], Train Loss: 99.0656, Validation Loss: 114.8489
Epoch [38/50], Train Loss: 98.1397, Validation Loss: 114.1820
Epoch [39/50], Train Loss: 97.3699, Validation Loss: 113.5604
Epoch [40/50], Train Loss: 97.5513, Validation Loss: 116.7117
Epoch [41/50], Train Loss: 97.0120, Validation Loss: 114.4742
Epoch [42/50], Train Loss: 97.8666, Validation Loss: 114.9810
Epoch [43/50], Train Loss: 96.0872, Validation Loss: 113.5363
Epoch [44/50], Train Loss: 94.9663, Validation Loss: 114.7785
Epoch [45/50], Train Loss: 94.4548, Validation Loss: 113.9975
Epoch [46/50], Train Loss: 95.2853, Validation Loss: 114.5119
Epoch [47/50], Train Loss: 94.3279, Validation Loss: 115.4467
Epoch [48/50], Train Loss: 94.3332, Validation Loss: 114.4444
Epoch [49/50], Train Loss: 93.1497, Validation Loss: 115.6839
Epoch [50/50], Train Loss: 94.1657, Validation Loss: 114.9874
Test Loss of the model on the test data: 127.6032
